iso-639-3	name	value	description	latitude	longitude	family
agr	Aguaruna	0	no	-5.30044	-77.92179	Chicham
apu	Apurinã	0	no	-8.21692	-66.77141	Arawakan
arl	Arabela	1	yes	-1.96126	-75.06117	Zaparoan
arh	Arhuaco	0	no	10.70184	-73.63629	Chibchan
kwi	Awa-Cuaiquer	0	no	1.216525	-78.340135	Barbacoan
quy	Ayacucho Quechua	0	no	-13.84714	-74.32246	Quechuan
ayo	Ayoreo	1	yes	-19.220055	-60.217495	Zamucoan
brg	Baure	1	yes	-13.12775	-64.18381	Arawakan
boa	Bora	1	yes	-2.91467	-68.90929	Boran
bor	Bororo	1	yes	-16.60295	-55.20043	Bororoan
qvc	Cajamarca Quechua	0	no	-7.09314	-78.32141	Quechuan
caw	Callawalla	0	no	-15.88451	-68.10176	Mixed Language
ram	Canela	1	yes	-6.10712	-45.1299	Nuclear-Macro-Je
